target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENSMUST00000189181.7	1.13374453691307e-27	7.09097167722659e-27	5.06853002149113	0.464938832694045	1.63252652095732	4.95382058292541	0.0636318531976939	0.260620324022658	0.139754061993265	0.260620324022658
ENSMUST00000107420.8	1.14413440586434e-27	7.15349486897923e-27	5.98752943671936	0.549280934404938	4.63391075740225	7.06743959886853	0.140528821350626	0.312035496000516	0.0639651173683928	0.312035496000516
ENSMUST00000026723.9	1.15466541272471e-27	7.21685722564847e-27	0.229185512266167	0.0210265121655777	7.79826221178277	0.0910355234142369	0.000457356584496801	-1.85628939991065e-05	0.00020581473627698	0.00020581473627698
ENSMUST00000163584.8	1.16986138595065e-27	7.3093228745003e-27	4.7482370478392	0.435672228467563	2.56525683043458	5.54109994747034	0.104210263761488	-0.0927394327271569	0.18050517222535	0.18050517222535
ENSMUST00000029698.15	1.17197565244076e-27	7.32001825775842e-27	3.26740397037787	0.299803614928133	5.44866241119505	2.22986777638086	0.118599936597652	-0.00337147568244532	0.0162233746883126	0.0162233746883126
ENSMUST00000105907.9	1.19965052599376e-27	7.49029995426517e-27	1.60508210707056	0.147304474530372	5.28729459720425	0.453782162727734	0.0104159528011109	0.00100896235583181	0.0221319595238927	0.0221319595238927
ENSMUST00000033800.13	1.21672113222362e-27	7.59427726591734e-27	-4.00884714057568	0.36795054144652	4.19298440289727	3.34914174797432	0.0926887903675047	0.110392611058676	0.107668566009655	0.110392611058676
ENSMUST00000154580.2	1.22494734311879e-27	7.6429990657443e-27	-4.04255920371312	0.371065681777738	2.39817419539166	6.62944389327649	0.029722926995741	0.00119660033740389	0.176811683294025	0.176811683294025
ENSMUST00000224266.2	1.24489028380404e-27	7.76476834081888e-27	-5.95147388812933	0.54635830433384	2.0001347551908	7.22044107300009	0.286552950639127	-0.158974038256394	0.161208144432697	0.161208144432697
ENSMUST00000073792.11	1.2455346524009e-27	7.76612418850447e-27	-4.99706885169127	0.458743821210219	3.96461698787422	2.25814587976393	0.181934262397561	0.0824544365468113	0.13373457785027	0.13373457785027
ENSMUST00000146130.2	1.25433010405307e-27	7.81828510367278e-27	-5.17390944895735	0.475006183459296	1.78712884140018	6.46030665492499	0.189013826354325	-0.153482283669769	0.149432485132524	0.149432485132524
ENSMUST00000061706.7	1.25721358876513e-27	7.83357339926696e-27	4.17216620928578	0.383045511066322	2.46388926739409	4.91997044045715	0.0416206256808189	-0.00369164534974621	0.178465169641271	0.178465169641271
ENSMUST00000226410.2	1.27608734691047e-27	7.9484509128793e-27	-3.82159688655048	0.350903544776664	3.96659937326001	2.87595578038304	0.0511854715014403	0.109392395123652	0.133514475103802	0.133514475103802
ENSMUST00000223107.2	1.30157364375236e-27	8.10442363319685e-27	-4.59033055511312	0.421559292756638	1.28841457036722	4.83162088568494	0.150819966946584	-0.134005386454164	0.115748389017631	0.115748389017631
ENSMUST00000199332.5	1.32721667828993e-27	8.26126521038238e-27	4.80291602078306	0.441154368629661	1.20149933269847	4.31767633544186	0.182577453856418	-0.0867549110947002	0.109348311585134	0.109348311585134
ENSMUST00000052829.10	1.34120528082833e-27	8.34548123424759e-27	4.93790696371974	0.453593264602442	2.407503312957	3.6939135230856	0.127700098455516	0.180920176083536	0.177062437297886	0.180920176083536
ENSMUST00000042345.8	1.368850213617e-27	8.51458539167781e-27	1.0916202143771	0.100292724207648	5.82295703797865	0.128914183666711	0.00705527358364609	-0.00288579998717027	0.00803267220984097	0.00803267220984097
ENSMUST00000056034.13	1.38423692124169e-27	8.60735081146796e-27	4.9918501620926	0.458669691166737	1.49952522098658	5.20101791902629	0.184759603005229	-0.111063361077052	0.130807225387256	0.130807225387256
ENSMUST00000019067.8	1.43758809476024e-27	8.93603973598747e-27	-4.15090337171164	0.381521211546277	3.66778908062831	4.41325945088686	0.0566546703130526	-0.00531412934379123	0.161682981976556	0.161682981976556
ENSMUST00000022256.5	1.44250148285854e-27	8.96351792628328e-27	0.307686698885739	0.0282811589487204	7.57534515952719	0.0554666780102632	0.000896763548423338	0.000222000027748017	0.000302972378800848	0.000302972378800848
ENSMUST00000019615.11	1.49428106267573e-27	9.28209834970841e-27	-0.614846957172896	0.0565306365912768	6.55473920179723	0.174025950745121	0.00269950735731873	-0.0011806624240012	0.00209406195280378	0.00209406195280378
ENSMUST00000139049.2	1.52029636891857e-27	9.44047468688665e-27	-4.32058592010128	0.397303459932326	3.53795100354597	5.46009555680081	0.0672871912688044	0.152857638244265	0.169487867642491	0.169487867642491
ENSMUST00000176458.2	1.52903314095899e-27	9.4914862688608e-27	3.82194180064287	0.351467070584079	1.50352218997564	3.54429689074387	0.0542104338949629	0.00250320975235117	0.131083218662468	0.131083218662468
ENSMUST00000211212.2	1.54602757384274e-27	9.5937050539242e-27	-4.49289093571953	0.413206088613951	3.02492815427197	4.98269827325651	0.0723296319583397	0.0112028133238478	0.183779275543121	0.183779275543121
ENSMUST00000138316.2	1.55881335854001e-27	9.66974671389007e-27	-3.84026757584428	0.353209461079704	4.23780104330267	1.8754778724347	0.0845279313353388	-0.0577462534385631	0.102607453758984	0.102607453758984
ENSMUST00000084500.8	1.56973276822219e-27	9.73416283273957e-27	0.989804917624591	0.0910428585729762	5.78024132508891	0.322282106378001	0.00377279582756733	-0.00104394587436699	0.0086604073181411	0.0086604073181411
ENSMUST00000080202.12	1.64283410371896e-27	1.01840036395503e-26	-5.51306922024717	0.507289241011479	1.66737299039557	5.59009706749667	0.24400491057383	0.0423054444163747	0.142008650495173	0.142008650495173
ENSMUST00000193159.2	1.67196951202651e-27	1.03610839811714e-26	-5.16881488355139	0.475682639765129	2.44802798923013	4.97357671461123	0.161320855770411	0.0535707901187839	0.178090104890471	0.178090104890471
